frequency,wind_speed,distance,wind_direction,flow_resistivity,Nord2000 (delhom),Acventum (delhom),BE2 (Iso9613),Iso9613 (windPro),Nord2000 (windPro),geometric_div
50,3,500,0,12.5,0,3.32,2.972,2.91,-0.56,-65.05104356
63,3,500,0,12.5,2,3.3,2.837,2.91,-0.66,-65.05104356
80,3,500,0,12.5,-1.2,3.27,2.847,2.91,-2.96,-65.05104356
100,3,500,0,12.5,0.3,0.24,-3.215,-3.28,-4.96,-65.05104356
125,3,500,0,12.5,0.3,0.18,-3.26,-3.28,-2.96,-65.05104356
160,3,500,0,12.5,0.2,0.1,-3.408,-3.28,-1.06,-65.05104356
200,3,500,0,12.5,0.2,0,-6.489,-6.65,0.64,-65.05104356
250,3,500,0,12.5,0.2,-0.12,-6.629,-6.65,2.24,-65.05104356
315,3,500,0,12.5,0.1,-0.26,-6.848,-6.65,3.14,-65.05104356
400,3,500,0,12.5,0.1,-0.42,-3.251,-3.46,2.84,-65.05104356
500,3,500,0,12.5,0,-0.57,-3.427,-3.46,0.84,-65.05104356
630,3,500,0,12.5,-0.1,-0.75,-3.759,-3.46,-2.86,-65.05104356
800,3,500,0,12.5,-0.2,-0.99,-1.936,-2.29,-1.96,-65.05104356
1000,3,500,0,12.5,-0.4,-1.28,-2.36,-2.29,-0.96,-65.05104356
1250,3,500,0,12.5,-0.6,-1.71,-2.851,-2.29,-2.06,-65.05104356
1600,3,500,0,12.5,-1.1,-2.44,-3.641,-4.99,-2.96,-65.05104356
2000,3,500,0,12.5,-1.8,-3.47,-5.06,-4.99,-4.36,-65.05104356
2500,3,500,0,12.5,-2.8,-5.07,-7.131,-4.99,-6.56,-65.05104356
3150,3,500,0,12.5,-4.3,-7.66,-10.559,-15.87,-9.96,-65.05104356
4000,3,500,0,12.5,-15.2,-11.9,-15.93,-15.87,-15.16,-65.05104356
5000,3,500,0,12.5,-19.7,-18.09,-24.309,-15.87,-23.06,-65.05104356
6300,3,500,0,12.5,-25.9,-27.95,-37.139,-56.69,-34.76,-65.05104356
8000,3,500,0,12.5,-35.3,-43.67,-56.849,-56.69,-51.26,-65.05104356
10000,3,500,0,12.5,-48.7,-65.68,-86.368,-56.69,-73.16,-65.05104356
50,3,500,90,12.5,0,3.3,2.972,2.91,-0.56,-65.05104356
63,3,500,90,12.5,2,3.3,2.837,2.91,-1.16,-65.05104356
80,3,500,90,12.5,-0.9,3.29,2.847,2.91,-2.86,-65.05104356
100,3,500,90,12.5,0.3,0.28,-3.215,-3.28,-4.96,-65.05104356
125,3,500,90,12.5,0.3,0.26,-3.26,-3.28,-4.06,-65.05104356
160,3,500,90,12.5,0.2,0.24,-3.408,-3.28,-1.66,-65.05104356
200,3,500,90,12.5,0.2,0.21,-6.489,-6.65,-0.16,-65.05104356
250,3,500,90,12.5,0.2,0.17,-6.629,-6.65,1.54,-65.05104356
315,3,500,90,12.5,0.1,0.13,-6.848,-6.65,2.74,-65.05104356
400,3,500,90,12.5,0.1,0.08,-3.251,-3.46,3.04,-65.05104356
500,3,500,90,12.5,0,0.04,-3.427,-3.46,2.24,-65.05104356
630,3,500,90,12.5,-0.1,-0.01,-3.759,-3.46,-0.26,-65.05104356
800,3,500,90,12.5,-0.2,-0.08,-1.936,-2.29,-2.86,-65.05104356
1000,3,500,90,12.5,-0.4,-0.17,-2.36,-2.29,-1.56,-65.05104356
1250,3,500,90,12.5,-0.6,-0.29,-2.851,-2.29,-2.06,-65.05104356
1600,3,500,90,12.5,-1.1,-0.51,-3.641,-4.99,-2.96,-65.05104356
2000,3,500,90,12.5,-1.8,-0.81,-5.06,-4.99,-4.36,-65.05104356
2500,3,500,90,12.5,-2.8,-1.28,-7.131,-4.99,-6.56,-65.05104356
3150,3,500,90,12.5,-12.1,-2.05,-10.559,-15.87,-9.96,-65.05104356
4000,3,500,90,12.5,-15.4,-3.29,-15.93,-15.87,-15.16,-65.05104356
5000,3,500,90,12.5,-19.9,-5.11,-24.309,-15.87,-23.06,-65.05104356
6300,3,500,90,12.5,-26.1,-8.01,-37.139,-56.69,-34.76,-65.05104356
8000,3,500,90,12.5,-35.7,-12.64,-56.849,-56.69,-51.26,-65.05104356
10000,3,500,90,12.5,-49.4,-19.11,-86.368,-56.69,-73.16,-65.05104356
50,3,500,180,12.5,0,3.54,2.972,2.91,-0.66,-65.05104356
63,3,500,180,12.5,2,3.49,2.837,2.91,-0.66,-65.05104356
80,3,500,180,12.5,-0.9,3.4,2.847,2.91,-1.36,-65.05104356
100,3,500,180,12.5,0.3,0.28,-3.215,-3.28,-3.16,-65.05104356
125,3,500,180,12.5,0.3,0.09,-3.26,-3.28,-3.96,-65.05104356
160,3,500,180,12.5,0.2,-0.19,-3.408,-3.28,-1.66,-65.05104356
200,3,500,180,12.5,0.2,-0.53,-6.489,-6.65,-0.86,-65.05104356
250,3,500,180,12.5,0.2,-0.93,-6.629,-6.65,0.64,-65.05104356
