frequency,wind_speed,distance,wind_direction,flow_resistivity,Nord2000 (delhom),Acventum (delhom),BE2 (Iso9613),Iso9613 (windPro),Nord2000 (windPro)
50,3,500,0,12.5,0.5,3.32,2.972,2.91,-0.56
63,3,500,0,12.5,-1,3.3,2.837,2.91,-0.66
80,3,500,0,12.5,0.8,3.27,2.847,2.91,-2.96
100,3,500,0,12.5,0.4,0.24,-3.215,-3.28,-4.96
125,3,500,0,12.5,0.3,0.18,-3.26,-3.28,-2.96
160,3,500,0,12.5,0.3,0.1,-3.408,-3.28,-1.06
200,3,500,0,12.5,-2.5,0,-6.489,-6.65,0.64
250,3,500,0,12.5,-2.9,-0.12,-6.629,-6.65,2.24
315,3,500,0,12.5,-2.7,-0.26,-6.848,-6.65,3.14
400,3,500,0,12.5,-2.4,-0.42,-3.251,-3.46,2.84
500,3,500,0,12.5,-2.4,-0.57,-3.427,-3.46,0.84
630,3,500,0,12.5,-2.3,-0.75,-3.759,-3.46,-2.86
800,3,500,0,12.5,-2.2,-0.99,-1.936,-2.29,-1.96
1000,3,500,0,12.5,-2.2,-1.28,-2.36,-2.29,-0.96
1250,3,500,0,12.5,-7.5,-1.71,-2.851,-2.29,-2.06
1600,3,500,0,12.5,-13,-2.44,-3.641,-4.99,-2.96
2000,3,500,0,12.5,-10.1,-3.47,-5.06,-4.99,-4.36
2500,3,500,0,12.5,-9.3,-5.07,-7.131,-4.99,-6.56
3150,3,500,0,12.5,-9.2,-7.66,-10.559,-15.87,-9.96
4000,3,500,0,12.5,-9.5,-11.9,-15.93,-15.87,-15.16
5000,3,500,0,12.5,-13,-18.09,-24.309,-15.87,-23.06
6300,3,500,0,12.5,-18,-27.95,-37.139,-56.69,-34.76
8000,3,500,0,12.5,-25.8,-43.67,-56.849,-56.69,-51.26
10000,3,500,0,12.5,-38.1,-65.68,-86.368,-56.69,-73.16
50,3,500,90,12.5,0.5,3.3,2.972,2.91,-0.56
63,3,500,90,12.5,-1.1,3.3,2.837,2.91,-1.16
80,3,500,90,12.5,0.8,3.29,2.847,2.91,-2.86
100,3,500,90,12.5,0.4,0.28,-3.215,-3.28,-4.96
125,3,500,90,12.5,0.3,0.26,-3.26,-3.28,-4.06
160,3,500,90,12.5,0.3,0.24,-3.408,-3.28,-1.66
200,3,500,90,12.5,-2.5,0.21,-6.489,-6.65,-0.16
250,3,500,90,12.5,-2.8,0.17,-6.629,-6.65,1.54
315,3,500,90,12.5,-2.7,0.13,-6.848,-6.65,2.74
400,3,500,90,12.5,-2.4,0.08,-3.251,-3.46,3.04
500,3,500,90,12.5,-2.4,0.04,-3.427,-3.46,2.24
630,3,500,90,12.5,-2.3,-0.01,-3.759,-3.46,-0.26
800,3,500,90,12.5,-2.2,-0.08,-1.936,-2.29,-2.86
1000,3,500,90,12.5,-2.2,-0.17,-2.36,-2.29,-1.56
1250,3,500,90,12.5,-7.5,-0.29,-2.851,-2.29,-2.06
1600,3,500,90,12.5,-12.6,-0.51,-3.641,-4.99,-2.96
2000,3,500,90,12.5,-10.2,-0.81,-5.06,-4.99,-4.36
2500,3,500,90,12.5,-9.4,-1.28,-7.131,-4.99,-6.56
3150,3,500,90,12.5,-9.3,-2.05,-10.559,-15.87,-9.96
4000,3,500,90,12.5,-9.5,-3.29,-15.93,-15.87,-15.16
5000,3,500,90,12.5,-13.1,-5.11,-24.309,-15.87,-23.06
6300,3,500,90,12.5,-18.1,-8.01,-37.139,-56.69,-34.76
8000,3,500,90,12.5,-25.9,-12.64,-56.849,-56.69,-51.26
10000,3,500,90,12.5,-38.2,-19.11,-86.368,-56.69,-73.16
50,3,500,180,12.5,0.5,3.54,2.972,2.91,-0.66
63,3,500,180,12.5,-1.4,3.49,2.837,2.91,-0.66
80,3,500,180,12.5,1.1,3.4,2.847,2.91,-1.36
100,3,500,180,12.5,0.4,0.28,-3.215,-3.28,-3.16
125,3,500,180,12.5,0.3,0.09,-3.26,-3.28,-3.96
160,3,500,180,12.5,0.3,-0.19,-3.408,-3.28,-1.66
200,3,500,180,12.5,-2.5,-0.53,-6.489,-6.65,-0.86
250,3,500,180,12.5,-2.7,-0.93,-6.629,-6.65,0.64
315,3,500,180,12.5,-2.8,-1.38,-6.848,-6.65,2.14
400,3,500,180,12.5,-2.5,-1.9,-3.251,-3.46,2.84
500,3,500,180,12.5,-2.4,-2.42,-3.427,-3.46,2.74
630,3,500,180,12.5,-2.3,-3.02,-3.759,-3.46,1.24
800,3,500,180,12.5,-2.2,-3.8,-1.936,-2.29,-1.46
1000,3,500,180,12.5,-2.3,-4.77,-2.36,-2.29,-1.96
1250,3,500,180,12.5,-7.3,-6.2,-2.851,-2.29,-2.06
1600,3,500,180,12.5,-10.5,-8.64,-3.641,-4.99,-2.96
2000,3,500,180,12.5,-11.6,-12.08,-5.06,-4.99,-4.36
2500,3,500,180,12.5,-10,-17.42,-7.131,-4.99,-6.56
3150,3,500,180,12.5,-9.7,-26.06,-10.559,-15.87,-9.96
4000,3,500,180,12.5,-9.9,-40.19,-15.93,-15.87,-15.16
5000,3,500,180,12.5,-13.5,-60.81,-24.309,-15.87,-23.06
6300,3,500,180,12.5,-18.5,-93.68,-37.139,-56.69,-34.76
8000,3,500,180,12.5,-26.3,-146.09,-56.849,-56.69,-51.26
10000,3,500,180,12.5,-38.5,-219.46,-86.368,-56.69,-73.16
50,5,500,0,12.5,0.7,3.32,2.972,2.91,0.74
63,5,500,0,12.5,-2.6,3.3,2.837,2.91,-0.46
80,5,500,0,12.5,0.4,3.27,2.847,2.91,-3.56
100,5,500,0,12.5,0.3,0.24,-3.215,-3.28,-4.96
125,5,500,0,12.5,0.3,0.18,-3.26,-3.28,-2.46
